School.Year,County,Grade,Vaccine.Series,Number.of.Schools,Total.Enrollment.Count,Total.Vaccinated.Count,Percentage.Vaccinated,Religious..Flu.Only.Exemption.Count,Religious.Exemption.Count,Percentage.Religious.Exemption,Medical.Exemption.Count,Percentage.Medical.Exemption,Percentage.Compliant,Percentage.Non.Compliant
2020-2021,Tolland,7th,Tdap,13,1381,1312,95,NA,51,3.7,2,0.1,98.8,1.2
2020-2021,Tolland,7th,All,13,1381,1304,94.4,NA,51,3.7,2,0.1,98.3,1.7
2020-2021,Windham,Pre-K,Flu,15,499,378,75.8,29,32,6.4,5,1,89,11
2020-2021,Windham,K,Polio,22,1066,996,93.4,NA,46,4.3,6,0.6,98.3,1.7
2020-2021,Windham,K,DTaP,22,1066,995,93.3,NA,46,4.3,6,0.6,98.2,1.8
2020-2021,Windham,K,MMR,22,1066,997,93.5,NA,46,4.3,6,0.6,98.4,1.6
2020-2021,Windham,K,HepB,22,1066,1007,94.5,NA,46,4.3,6,0.6,99.3,0.7
2020-2021,Windham,K,Varicella,22,1066,992,93.1,NA,46,4.3,6,0.6,97.9,2.1
2020-2021,Windham,K,HepA,22,1066,1001,93.9,NA,46,4.3,6,0.6,98.8,1.2
2020-2021,Windham,K,All,22,1066,980,91.9,NA,46,4.3,6,0.6,96.8,3.2
2020-2021,Windham,7th,Polio,20,1410,1378,97.7,NA,22,1.6,1,0.1,99.4,0.6
2020-2021,Windham,7th,DTaP,20,1410,1385,98.2,NA,22,1.6,1,0.1,99.9,0.1
2020-2021,Windham,7th,MMR,20,1410,1384,98.2,NA,22,1.6,1,0.1,99.8,0.2
2020-2021,Windham,7th,HepB,20,1410,1375,97.5,NA,22,1.6,1,0.1,99.1,0.9
2020-2021,Windham,7th,Varicella,20,1410,1384,98.2,NA,22,1.6,1,0.1,99.8,0.2
2020-2021,Windham,7th,HepA,20,1410,1365,96.8,NA,22,1.6,1,0.1,98.4,1.6
2020-2021,Windham,7th,MCV,20,1410,1335,94.7,NA,22,1.6,1,0.1,96.3,3.7
2020-2021,Windham,7th,Tdap,20,1410,1336,94.8,NA,22,1.6,1,0.1,96.4,3.6
2020-2021,Windham,7th,All,20,1410,1287,91.3,NA,22,1.6,1,0.1,92.9,7.1
2019-2020,Fairfield,Pre-K,Flu,102,4900,4316,88.1,170,162,3.3,11,0.2,95.1,4.9
2019-2020,Fairfield,K,Polio,203,11301,10906,96.5,NA,286,2.5,23,0.2,99.2,0.8
2019-2020,Fairfield,K,DTaP,203,11301,10901,96.5,NA,286,2.5,23,0.2,99.2,0.8
2019-2020,Fairfield,K,MMR,203,11301,10874,96.2,NA,286,2.5,23,0.2,99,1
2019-2020,Fairfield,K,HepB,203,11301,10920,96.6,NA,286,2.5,23,0.2,99.4,0.6
2019-2020,Fairfield,K,Varicella,203,11301,10813,95.7,NA,286,2.5,23,0.2,98.4,1.6
2019-2020,Fairfield,K,HepA,203,11301,10837,95.9,NA,286,2.5,23,0.2,98.6,1.4
2019-2020,Fairfield,K,All,203,11301,10692,94.6,NA,286,2.5,23,0.2,97.3,2.7
2019-2020,Fairfield,7th,Polio,133,13153,12852,97.7,NA,231,1.8,22,0.2,99.6,0.4
2019-2020,Fairfield,7th,DTaP,133,13153,12861,97.8,NA,231,1.8,22,0.2,99.7,0.3
2019-2020,Fairfield,7th,MMR,133,13153,12868,97.8,NA,231,1.8,22,0.2,99.8,0.2
2019-2020,Fairfield,7th,HepB,133,13153,12838,97.6,NA,231,1.8,22,0.2,99.5,0.5
2019-2020,Fairfield,7th,Varicella,133,13153,12848,97.7,NA,231,1.8,22,0.2,99.6,0.4
2019-2020,Fairfield,7th,HepA,133,13153,12774,97.1,NA,231,1.8,22,0.2,99,1
2019-2020,Fairfield,7th,MCV,133,13153,12598,95.8,NA,231,1.8,22,0.2,97.7,2.3
2019-2020,Fairfield,7th,Tdap,133,13153,12611,95.9,NA,231,1.8,22,0.2,97.8,2.2
2019-2020,Fairfield,7th,All,133,13153,12434,94.5,NA,231,1.8,22,0.2,96.5,3.5
2019-2020,Hartford,Pre-K,Flu,101,5615,4722,84.1,234,113,2,17,0.3,90.6,9.4
2019-2020,Hartford,K,Polio,183,10309,9901,96,NA,198,1.9,17,0.2,98.1,1.9
2019-2020,Hartford,K,DTaP,183,10309,9889,95.9,NA,198,1.9,17,0.2,98,2
2019-2020,Hartford,K,MMR,183,10309,9912,96.1,NA,198,1.9,17,0.2,98.2,1.8
2019-2020,Hartford,K,HepB,183,10309,9953,96.5,NA,198,1.9,17,0.2,98.6,1.4
2019-2020,Hartford,K,Varicella,183,10309,9895,96,NA,198,1.9,17,0.2,98.1,1.9
2019-2020,Hartford,K,HepA,183,10309,9897,96,NA,198,1.9,17,0.2,98.1,1.9
2019-2020,Hartford,K,All,183,10309,9724,94.3,NA,198,1.9,17,0.2,96.4,3.6
2019-2020,Hartford,7th,Polio,132,11551,11323,98,NA,144,1.2,19,0.2,99.4,0.6
2019-2020,Hartford,7th,DTaP,132,11551,11278,97.6,NA,144,1.2,19,0.2,99,1
2019-2020,Hartford,7th,MMR,132,11551,11319,98,NA,144,1.2,19,0.2,99.4,0.6
2019-2020,Hartford,7th,HepB,132,11551,11308,97.9,NA,144,1.2,19,0.2,99.3,0.7
2019-2020,Hartford,7th,Varicella,132,11551,11315,98,NA,144,1.2,19,0.2,99.4,0.6
2019-2020,Hartford,7th,HepA,132,11551,11232,97.2,NA,144,1.2,19,0.2,98.6,1.4
2019-2020,Hartford,7th,MCV,132,11551,10802,93.5,NA,144,1.2,19,0.2,94.9,5.1
2019-2020,Hartford,7th,Tdap,132,11551,10839,93.8,NA,144,1.2,19,0.2,95.2,4.8
2019-2020,Hartford,7th,All,132,11551,10643,92.1,NA,144,1.2,19,0.2,93.6,6.4
2019-2020,Litchfield,Pre-K,Flu,26,714,654,91.6,17,24,3.4,3,0.4,97.8,2.2
2019-2020,Litchfield,K,Polio,40,1626,1548,95.2,NA,57,3.5,7,0.4,99.1,0.9
2019-2020,Litchfield,K,DTaP,40,1626,1546,95.1,NA,57,3.5,7,0.4,99,1
2019-2020,Litchfield,K,MMR,40,1626,1542,94.8,NA,57,3.5,7,0.4,98.8,1.2
2019-2020,Litchfield,K,HepB,40,1626,1548,95.2,NA,57,3.5,7,0.4,99.1,0.9
2019-2020,Litchfield,K,Varicella,40,1626,1538,94.6,NA,57,3.5,7,0.4,98.5,1.5
2019-2020,Litchfield,K,HepA,40,1626,1536,94.5,NA,57,3.5,7,0.4,98.4,1.6
2019-2020,Litchfield,K,All,40,1626,1516,93.2,NA,57,3.5,7,0.4,97.2,2.8
2019-2020,Litchfield,7th,Polio,29,1928,1863,96.6,NA,37,1.9,11,0.6,99.1,0.9
2019-2020,Litchfield,7th,DTaP,29,1928,1862,96.6,NA,37,1.9,11,0.6,99.1,0.9
2019-2020,Litchfield,7th,MMR,29,1928,1864,96.7,NA,37,1.9,11,0.6,99.2,0.8
2019-2020,Litchfield,7th,HepB,29,1928,1864,96.7,NA,37,1.9,11,0.6,99.2,0.8
2019-2020,Litchfield,7th,Varicella,29,1928,1866,96.8,NA,37,1.9,11,0.6,99.3,0.7
2019-2020,Litchfield,7th,HepA,29,1928,1862,96.6,NA,37,1.9,11,0.6,99.1,0.9
2019-2020,Litchfield,7th,MCV,29,1928,1794,93,NA,37,1.9,11,0.6,95.5,4.5
2019-2020,Litchfield,7th,Tdap,29,1928,1793,93,NA,37,1.9,11,0.6,95.5,4.5
2019-2020,Litchfield,7th,All,29,1928,1783,92.5,NA,37,1.9,11,0.6,95,5
2019-2020,Middlesex,Pre-K,Flu,15,623,553,88.8,31,16,2.6,2,0.3,96.6,3.4
2019-2020,Middlesex,K,Polio,25,1291,1253,97.1,NA,35,2.7,1,0.1,99.8,0.2
2019-2020,Middlesex,K,DTaP,25,1291,1253,97.1,NA,35,2.7,1,0.1,99.8,0.2
2019-2020,Middlesex,K,MMR,25,1291,1251,96.9,NA,35,2.7,1,0.1,99.7,0.3
2019-2020,Middlesex,K,HepB,25,1291,1250,96.8,NA,35,2.7,1,0.1,99.6,0.4
2019-2020,Middlesex,K,Varicella,25,1291,1246,96.5,NA,35,2.7,1,0.1,99.3,0.7
2019-2020,Middlesex,K,HepA,25,1291,1246,96.5,NA,35,2.7,1,0.1,99.3,0.7
2019-2020,Middlesex,K,All,25,1291,1240,96,NA,35,2.7,1,0.1,98.8,1.2
2019-2020,Middlesex,7th,Polio,13,1260,1228,97.5,NA,28,2.2,4,0.3,100,0
2019-2020,Middlesex,7th,DTaP,13,1260,1201,95.3,NA,28,2.2,4,0.3,97.9,2.1
2019-2020,Middlesex,7th,MMR,13,1260,1227,97.4,NA,28,2.2,4,0.3,99.9,0.1
2019-2020,Middlesex,7th,HepB,13,1260,1226,97.3,NA,28,2.2,4,0.3,99.8,0.2
2019-2020,Middlesex,7th,Varicella,13,1260,1207,95.8,NA,28,2.2,4,0.3,98.3,1.7
2019-2020,Middlesex,7th,HepA,13,1260,1210,96,NA,28,2.2,4,0.3,98.6,1.4
2019-2020,Middlesex,7th,MCV,13,1260,1198,95.1,NA,28,2.2,4,0.3,97.6,2.4
2019-2020,Middlesex,7th,Tdap,13,1260,1200,95.2,NA,28,2.2,4,0.3,97.8,2.2
2019-2020,Middlesex,7th,All,13,1260,1191,94.5,NA,28,2.2,4,0.3,97.1,2.9
2019-2020,New Haven,Pre-K,Flu,81,3773,3376,89.5,100,61,1.6,18,0.5,94.2,5.8
2019-2020,New Haven,K,Polio,172,9128,8821,96.6,NA,141,1.5,20,0.2,98.4,1.6
2019-2020,New Haven,K,DTaP,172,9128,8820,96.6,NA,141,1.5,20,0.2,98.4,1.6
2019-2020,New Haven,K,MMR,172,9128,8836,96.8,NA,141,1.5,20,0.2,98.6,1.4
2019-2020,New Haven,K,HepB,172,9128,8866,97.1,NA,141,1.5,20,0.2,98.9,1.1
2019-2020,New Haven,K,Varicella,172,9128,8804,96.5,NA,141,1.5,20,0.2,98.2,1.8
2019-2020,New Haven,K,HepA,172,9128,8829,96.7,NA,141,1.5,20,0.2,98.5,1.5
2019-2020,New Haven,K,All,172,9128,8703,95.3,NA,141,1.5,20,0.2,97.1,2.9
2019-2020,New Haven,7th,Polio,117,10076,9935,98.6,NA,88,0.9,15,0.1,99.6,0.4
2019-2020,New Haven,7th,DTaP,117,10076,9912,98.4,NA,88,0.9,15,0.1,99.4,0.6
2019-2020,New Haven,7th,MMR,117,10076,9940,98.7,NA,88,0.9,15,0.1,99.7,0.3
2019-2020,New Haven,7th,HepB,117,10076,9941,98.7,NA,88,0.9,15,0.1,99.7,0.3
2019-2020,New Haven,7th,Varicella,117,10076,9924,98.5,NA,88,0.9,15,0.1,99.5,0.5
2019-2020,New Haven,7th,HepA,117,10076,9895,98.2,NA,88,0.9,15,0.1,99.2,0.8
2019-2020,New Haven,7th,MCV,117,10076,9687,96.1,NA,88,0.9,15,0.1,97.2,2.8
2019-2020,New Haven,7th,Tdap,117,10076,9711,96.4,NA,88,0.9,15,0.1,97.4,2.6
2019-2020,New Haven,7th,All,117,10076,9609,95.4,NA,88,0.9,15,0.1,96.4,3.6
2019-2020,New London,Pre-K,Flu,37,1910,1655,86.6,50,54,2.8,4,0.2,92.3,7.7
2019-2020,New London,K,Polio,60,2792,2699,96.7,NA,72,2.6,2,0.1,99.3,0.7
2019-2020,New London,K,DTaP,60,2792,2696,96.6,NA,72,2.6,2,0.1,99.2,0.8
2019-2020,New London,K,MMR,60,2792,2694,96.5,NA,72,2.6,2,0.1,99.1,0.9
2019-2020,New London,K,HepB,60,2792,2704,96.8,NA,72,2.6,2,0.1,99.5,0.5
2019-2020,New London,K,Varicella,60,2792,2686,96.2,NA,72,2.6,2,0.1,98.9,1.1
2019-2020,New London,K,HepA,60,2792,2690,96.3,NA,72,2.6,2,0.1,99,1
2019-2020,New London,K,All,60,2792,2664,95.4,NA,72,2.6,2,0.1,98.1,1.9
2019-2020,New London,7th,Polio,43,2998,2947,98.3,NA,41,1.4,6,0.2,99.9,0.1
2019-2020,New London,7th,DTaP,43,2998,2927,97.6,NA,41,1.4,6,0.2,99.2,0.8
2019-2020,New London,7th,MMR,43,2998,2946,98.3,NA,41,1.4,6,0.2,99.8,0.2
2019-2020,New London,7th,HepB,43,2998,2945,98.2,NA,41,1.4,6,0.2,99.8,0.2
2019-2020,New London,7th,Varicella,43,2998,2941,98.1,NA,41,1.4,6,0.2,99.7,0.3
2019-2020,New London,7th,HepA,43,2998,2934,97.9,NA,41,1.4,6,0.2,99.4,0.6
2019-2020,New London,7th,MCV,43,2998,2886,96.3,NA,41,1.4,6,0.2,97.8,2.2
2019-2020,New London,7th,Tdap,43,2998,2890,96.4,NA,41,1.4,6,0.2,98,2
2019-2020,New London,7th,All,43,2998,2866,95.6,NA,41,1.4,6,0.2,97.2,2.8
2019-2020,State,Pre-K,Flu,398,19161,16668,87,698,482,2.5,65,0.3,93.5,6.5
2019-2020,State,K,Polio,735,38888,37434,96.3,NA,891,2.3,84,0.2,98.8,1.2
2019-2020,State,K,DTaP,735,38888,37405,96.2,NA,891,2.3,84,0.2,98.7,1.3
2019-2020,State,K,MMR,735,38888,37411,96.2,NA,891,2.3,84,0.2,98.7,1.3
2019-2020,State,K,HepB,735,38888,37550,96.6,NA,891,2.3,84,0.2,99.1,0.9
2019-2020,State,K,Varicella,735,38888,37281,95.9,NA,891,2.3,84,0.2,98.4,1.6
2019-2020,State,K,HepA,735,38888,37345,96,NA,891,2.3,84,0.2,98.5,1.5
2019-2020,State,K,All,735,38888,36808,94.7,NA,891,2.3,84,0.2,97.2,2.8
2019-2020,State,7th,Polio,505,43935,43027,97.9,NA,645,1.5,89,0.2,99.6,0.4
2019-2020,State,7th,DTaP,505,43935,42917,97.7,NA,645,1.5,89,0.2,99.4,0.6
2019-2020,State,7th,MMR,505,43935,43042,98,NA,645,1.5,89,0.2,99.6,0.4
2019-2020,State,7th,HepB,505,43935,42996,97.9,NA,645,1.5,89,0.2,99.5,0.5
2019-2020,State,7th,Varicella,505,43935,42971,97.8,NA,645,1.5,89,0.2,99.5,0.5
2019-2020,State,7th,HepA,505,43935,42779,97.4,NA,645,1.5,89,0.2,99,1
2019-2020,State,7th,MCV,505,43935,41797,95.1,NA,645,1.5,89,0.2,96.8,3.2
2019-2020,State,7th,Tdap,505,43935,41875,95.3,NA,645,1.5,89,0.2,97,3
2019-2020,State,7th,All,505,43935,41333,94.1,NA,645,1.5,89,0.2,95.7,4.3
2019-2020,Tolland,Pre-K,Flu,17,605,528,87.3,27,17,2.8,4,0.7,95.2,4.8
2019-2020,Tolland,K,Polio,27,1245,1197,96.1,NA,40,3.2,6,0.5,99.8,0.2
2019-2020,Tolland,K,DTaP,27,1245,1195,96,NA,40,3.2,6,0.5,99.7,0.3
2019-2020,Tolland,K,MMR,27,1245,1192,95.7,NA,40,3.2,6,0.5,99.4,0.6
2019-2020,Tolland,K,HepB,27,1245,1190,95.6,NA,40,3.2,6,0.5,99.3,0.7
2019-2020,Tolland,K,Varicella,27,1245,1192,95.7,NA,40,3.2,6,0.5,99.4,0.6
2019-2020,Tolland,K,HepA,27,1245,1195,96,NA,40,3.2,6,0.5,99.7,0.3
2019-2020,Tolland,K,All,27,1245,1179,94.7,NA,40,3.2,6,0.5,98.4,1.6
2019-2020,Tolland,7th,Polio,15,1514,1459,96.4,NA,48,3.2,7,0.5,100,0
2019-2020,Tolland,7th,DTaP,15,1514,1454,96,NA,48,3.2,7,0.5,99.7,0.3
2019-2020,Tolland,7th,MMR,15,1514,1458,96.3,NA,48,3.2,7,0.5,99.9,0.1
2019-2020,Tolland,7th,HepB,15,1514,1457,96.2,NA,48,3.2,7,0.5,99.9,0.1
2019-2020,Tolland,7th,Varicella,15,1514,1457,96.2,NA,48,3.2,7,0.5,99.9,0.1
2019-2020,Tolland,7th,HepA,15,1514,1456,96.2,NA,48,3.2,7,0.5,99.8,0.2
2019-2020,Tolland,7th,MCV,15,1514,1449,95.7,NA,48,3.2,7,0.5,99.3,0.7
2019-2020,Tolland,7th,Tdap,15,1514,1450,95.8,NA,48,3.2,7,0.5,99.4,0.6
2019-2020,Tolland,7th,All,15,1514,1445,95.4,NA,48,3.2,7,0.5,99.1,0.9
2019-2020,Windham,Pre-K,Flu,19,1021,864,84.6,69,35,3.4,6,0.6,95.4,4.6
2019-2020,Windham,K,Polio,25,1196,1109,92.7,NA,62,5.2,8,0.7,98.6,1.4
2019-2020,Windham,K,DTaP,25,1196,1105,92.4,NA,62,5.2,8,0.7,98.2,1.8
2019-2020,Windham,K,MMR,25,1196,1110,92.8,NA,62,5.2,8,0.7,98.7,1.3
2019-2020,Windham,K,HepB,25,1196,1119,93.6,NA,62,5.2,8,0.7,99.4,0.6
2019-2020,Windham,K,Varicella,25,1196,1107,92.6,NA,62,5.2,8,0.7,98.4,1.6
2019-2020,Windham,K,HepA,25,1196,1115,93.2,NA,62,5.2,8,0.7,99.1,0.9
2019-2020,Windham,K,All,25,1196,1090,91.1,NA,62,5.2,8,0.7,97,3
2019-2020,Windham,7th,Polio,23,1455,1420,97.6,NA,28,1.9,5,0.3,99.9,0.1
2019-2020,Windham,7th,DTaP,23,1455,1422,97.7,NA,28,1.9,5,0.3,100,0
2019-2020,Windham,7th,MMR,23,1455,1420,97.6,NA,28,1.9,5,0.3,99.9,0.1
2019-2020,Windham,7th,HepB,23,1455,1417,97.4,NA,28,1.9,5,0.3,99.7,0.3
2019-2020,Windham,7th,Varicella,23,1455,1413,97.1,NA,28,1.9,5,0.3,99.4,0.6
2019-2020,Windham,7th,HepA,23,1455,1416,97.3,NA,28,1.9,5,0.3,99.6,0.4
2019-2020,Windham,7th,MCV,23,1455,1383,95.1,NA,28,1.9,5,0.3,97.3,2.7
2019-2020,Windham,7th,Tdap,23,1455,1381,94.9,NA,28,1.9,5,0.3,97.2,2.8
2019-2020,Windham,7th,All,23,1455,1362,93.6,NA,28,1.9,5,0.3,95.9,4.1
2018-2019,Fairfield,Pre-K,Flu,112,5409,NA,86.9,275,153,2.8,28,0.5,95.3,4.7
2018-2019,Fairfield,K,Polio,204,11160,NA,96,NA,314,2.8,39,0.3,99.2,0.8
2018-2019,Fairfield,K,DTaP,204,11160,NA,95.9,NA,314,2.8,39,0.3,99.1,0.9
2018-2019,Fairfield,K,MMR,204,11160,NA,95.6,NA,314,2.8,39,0.3,98.8,1.2
2018-2019,Fairfield,K,HepB,204,11160,NA,96.2,NA,314,2.8,39,0.3,99.4,0.6
2018-2019,Fairfield,K,Varicella,204,11160,NA,95.4,NA,314,2.8,39,0.3,98.6,1.4
2018-2019,Fairfield,K,HepA,204,11160,NA,96,NA,314,2.8,39,0.3,99.2,0.8
2018-2019,Fairfield,K,All,204,11160,NA,94.3,NA,314,2.8,39,0.3,97.5,2.5
2018-2019,Fairfield,7th,Polio,136,13333,NA,98.1,NA,192,1.4,43,0.3,99.9,0.1
2018-2019,Fairfield,7th,DTaP,136,13333,NA,98.1,NA,192,1.4,43,0.3,99.9,0.1
2018-2019,Fairfield,7th,MMR,136,13333,NA,98.1,NA,192,1.4,43,0.3,99.9,0.1
2018-2019,Fairfield,7th,HepB,136,13333,NA,98,NA,192,1.4,43,0.3,99.8,0.2
2018-2019,Fairfield,7th,Varicella,136,13333,NA,98,NA,192,1.4,43,0.3,99.8,0.2
2018-2019,Fairfield,7th,MCV,136,13333,NA,95.2,NA,192,1.4,43,0.3,97,3
2018-2019,Fairfield,7th,Tdap,136,13333,NA,95.5,NA,192,1.4,43,0.3,97.3,2.7
2018-2019,Fairfield,7th,All,136,13333,NA,95,NA,192,1.4,43,0.3,96.8,3.2
2018-2019,Hartford,Pre-K,Flu,117,6737,NA,87.4,334,112,1.7,25,0.4,94.4,5.6
2018-2019,Hartford,K,Polio,180,9883,NA,96.1,NA,192,1.9,12,0.1,98.2,1.8
2018-2019,Hartford,K,DTaP,180,9883,NA,96.1,NA,192,1.9,12,0.1,98.2,1.8
2018-2019,Hartford,K,MMR,180,9883,NA,96,NA,192,1.9,12,0.1,98.1,1.9
2018-2019,Hartford,K,HepB,180,9883,NA,96.5,NA,192,1.9,12,0.1,98.6,1.4
2018-2019,Hartford,K,Varicella,180,9883,NA,95.8,NA,192,1.9,12,0.1,97.9,2.1
2018-2019,Hartford,K,HepA,180,9883,NA,96.3,NA,192,1.9,12,0.1,98.4,1.6
2018-2019,Hartford,K,All,180,9883,NA,94.6,NA,192,1.9,12,0.1,96.7,3.3
2018-2019,Hartford,7th,Polio,131,10892,NA,98.2,NA,112,1,29,0.3,99.5,0.5
2018-2019,Hartford,7th,DTaP,131,10892,NA,98.2,NA,112,1,29,0.3,99.5,0.5
2018-2019,Hartford,7th,MMR,131,10892,NA,98.2,NA,112,1,29,0.3,99.5,0.5
2018-2019,Hartford,7th,HepB,131,10892,NA,98.1,NA,112,1,29,0.3,99.4,0.6
2018-2019,Hartford,7th,Varicella,131,10892,NA,98.1,NA,112,1,29,0.3,99.4,0.6
2018-2019,Hartford,7th,MCV,131,10892,NA,94.5,NA,112,1,29,0.3,95.8,4.2
2018-2019,Hartford,7th,Tdap,131,10892,NA,94.7,NA,112,1,29,0.3,96,4
2018-2019,Hartford,7th,All,131,10892,NA,94,NA,112,1,29,0.3,95.3,4.7
2018-2019,Litchfield,Pre-K,Flu,29,893,NA,88.4,28,42,4.7,7,0.8,97,3
2018-2019,Litchfield,K,Polio,40,1578,NA,95.9,NA,53,3.4,2,0.1,99.4,0.6
2018-2019,Litchfield,K,DTaP,40,1578,NA,95.8,NA,53,3.4,2,0.1,99.3,0.7
2018-2019,Litchfield,K,MMR,40,1578,NA,95.9,NA,53,3.4,2,0.1,99.4,0.6
2018-2019,Litchfield,K,HepB,40,1578,NA,95.8,NA,53,3.4,2,0.1,99.3,0.7
2018-2019,Litchfield,K,Varicella,40,1578,NA,95.6,NA,53,3.4,2,0.1,99.1,0.9
2018-2019,Litchfield,K,HepA,40,1578,NA,95.4,NA,53,3.4,2,0.1,98.9,1.1
2018-2019,Litchfield,K,All,40,1578,NA,94.7,NA,53,3.4,2,0.1,98.2,1.8
2018-2019,Litchfield,7th,Polio,28,1840,NA,97.7,NA,31,1.7,10,0.5,99.9,0.1
2018-2019,Litchfield,7th,DTaP,28,1840,NA,97.7,NA,31,1.7,10,0.5,99.9,0.1
2018-2019,Litchfield,7th,MMR,28,1840,NA,97.8,NA,31,1.7,10,0.5,100,0
2018-2019,Litchfield,7th,HepB,28,1840,NA,97.7,NA,31,1.7,10,0.5,99.9,0.1
2018-2019,Litchfield,7th,Varicella,28,1840,NA,97.3,NA,31,1.7,10,0.5,99.5,0.5
2018-2019,Litchfield,7th,MCV,28,1840,NA,92.9,NA,31,1.7,10,0.5,95.1,4.9
2018-2019,Litchfield,7th,Tdap,28,1840,NA,93.1,NA,31,1.7,10,0.5,95.3,4.7
2018-2019,Litchfield,7th,All,28,1840,NA,92.6,NA,31,1.7,10,0.5,94.8,5.2
2018-2019,Middlesex,Pre-K,Flu,14,542,NA,84.7,23,12,2.2,0,0,91.2,8.8
2018-2019,Middlesex,K,Polio,27,1359,NA,97.1,NA,29,2.1,1,0.1,99.3,0.7
2018-2019,Middlesex,K,DTaP,27,1359,NA,97.1,NA,29,2.1,1,0.1,99.3,0.7
2018-2019,Middlesex,K,MMR,27,1359,NA,97.4,NA,29,2.1,1,0.1,99.6,0.4
2018-2019,Middlesex,K,HepB,27,1359,NA,97.4,NA,29,2.1,1,0.1,99.6,0.4
2018-2019,Middlesex,K,Varicella,27,1359,NA,97.4,NA,29,2.1,1,0.1,99.6,0.4
2018-2019,Middlesex,K,HepA,27,1359,NA,97.1,NA,29,2.1,1,0.1,99.3,0.7
2018-2019,Middlesex,K,All,27,1359,NA,95.5,NA,29,2.1,1,0.1,97.7,2.3
2018-2019,Middlesex,7th,Polio,15,1575,NA,98.5,NA,21,1.3,3,0.2,100,0
2018-2019,Middlesex,7th,DTaP,15,1575,NA,98.3,NA,21,1.3,3,0.2,99.8,0.2
2018-2019,Middlesex,7th,MMR,15,1575,NA,98.5,NA,21,1.3,3,0.2,100,0
2018-2019,Middlesex,7th,HepB,15,1575,NA,98.5,NA,21,1.3,3,0.2,100,0
2018-2019,Middlesex,7th,Varicella,15,1575,NA,97,NA,21,1.3,3,0.2,98.5,1.5
2018-2019,Middlesex,7th,MCV,15,1575,NA,96.6,NA,21,1.3,3,0.2,98.1,1.9
2018-2019,Middlesex,7th,Tdap,15,1575,NA,96.5,NA,21,1.3,3,0.2,98,2
2018-2019,Middlesex,7th,All,15,1575,NA,96.1,NA,21,1.3,3,0.2,97.6,2.4
2018-2019,New Haven,Pre-K,Flu,104,4740,NA,90.9,158,69,1.5,19,0.4,96.1,3.9
2018-2019,New Haven,K,Polio,171,9061,NA,96.9,NA,186,2.1,19,0.2,99.2,0.8
2018-2019,New Haven,K,DTaP,171,9061,NA,96.9,NA,186,2.1,19,0.2,99.2,0.8
2018-2019,New Haven,K,MMR,171,9061,NA,96.9,NA,186,2.1,19,0.2,99.2,0.8
2018-2019,New Haven,K,HepB,171,9061,NA,97.1,NA,186,2.1,19,0.2,99.4,0.6
2018-2019,New Haven,K,Varicella,171,9061,NA,96.8,NA,186,2.1,19,0.2,99.1,0.9
2018-2019,New Haven,K,HepA,171,9061,NA,96.8,NA,186,2.1,19,0.2,99.1,0.9
2018-2019,New Haven,K,All,171,9061,NA,96.1,NA,186,2.1,19,0.2,98.4,1.6
2018-2019,New Haven,7th,Polio,117,10121,NA,98.9,NA,77,0.8,15,0.1,99.8,0.2
2018-2019,New Haven,7th,DTaP,117,10121,NA,98.9,NA,77,0.8,15,0.1,99.8,0.2
2018-2019,New Haven,7th,MMR,117,10121,NA,98.9,NA,77,0.8,15,0.1,99.8,0.2
2018-2019,New Haven,7th,HepB,117,10121,NA,98.9,NA,77,0.8,15,0.1,99.8,0.2
2018-2019,New Haven,7th,Varicella,117,10121,NA,98.8,NA,77,0.8,15,0.1,99.7,0.3
2018-2019,New Haven,7th,MCV,117,10121,NA,96.9,NA,77,0.8,15,0.1,97.8,2.2
2018-2019,New Haven,7th,Tdap,117,10121,NA,97,NA,77,0.8,15,0.1,97.9,2.1
2018-2019,New Haven,7th,All,117,10121,NA,96.7,NA,77,0.8,15,0.1,97.6,2.4
2018-2019,New London,Pre-K,Flu,38,1915,NA,88.9,82,33,1.7,2,0.1,95,5
2018-2019,New London,K,Polio,60,2672,NA,96.1,NA,68,2.5,5,0.2,98.8,1.2
2018-2019,New London,K,DTaP,60,2672,NA,95.8,NA,68,2.5,5,0.2,98.5,1.5
2018-2019,New London,K,MMR,60,2672,NA,96.2,NA,68,2.5,5,0.2,98.9,1.1
2018-2019,New London,K,HepB,60,2672,NA,96.4,NA,68,2.5,5,0.2,99.1,0.9
2018-2019,New London,K,Varicella,60,2672,NA,96.1,NA,68,2.5,5,0.2,98.8,1.2
2018-2019,New London,K,HepA,60,2672,NA,96.2,NA,68,2.5,5,0.2,98.9,1.1
2018-2019,New London,K,All,60,2672,NA,95.1,NA,68,2.5,5,0.2,97.8,2.2
2018-2019,New London,7th,Polio,46,2913,NA,97.8,NA,48,1.6,5,0.2,99.6,0.4
2018-2019,New London,7th,DTaP,46,2913,NA,97.9,NA,48,1.6,5,0.2,99.7,0.3
2018-2019,New London,7th,MMR,46,2913,NA,97.9,NA,48,1.6,5,0.2,99.7,0.3
2018-2019,New London,7th,HepB,46,2913,NA,97.7,NA,48,1.6,5,0.2,99.5,0.5
2018-2019,New London,7th,Varicella,46,2913,NA,97.8,NA,48,1.6,5,0.2,99.6,0.4
2018-2019,New London,7th,MCV,46,2913,NA,95.6,NA,48,1.6,5,0.2,97.4,2.6
